Vthroat,Pitch,Trial,VA,AA,PA,RPM
0.113254,-2,1,117.3,33.475,3.9266175,153.8333333
0.113254,-2,2,116.0333333,34.225,3.971240833,153.6666667
0.113254,-2,3,118.5,34.5,4.08825,155.3333333
0.113254,-2,4,118.4,33.775,3.99896,153.6666667
0.113254,0,1,110.1333333,33.225,3.65918,147.1666667
0.113254,0,2,111.7,33.2,3.70844,148.6666667
0.113254,0,3,113,32.525,3.675325,147.6666667
0.113254,0,4,112.0666667,31.075,3.482471667,144.8333333
0.113254,2,1,108.7666667,30.8,3.350013333,144
0.113254,2,2,109.3333333,29.4,3.2144,143.1666667
0.113254,2,3,110.8666667,30.4,3.370346667,143.3333333
0.113254,2,4,113.6666667,31.575,3.589025,147.3333333
0.113254,4,1,98.8,28.1,2.77628,129.6666667
0.113254,4,2,98.43333333,26.65,2.623248333,130.3333333
0.113254,4,3,98.06666667,27.45,2.69193,127.6666667
0.113254,4,4,98.03333333,27.725,2.717974167,130.5
